epoch = 001, accuracy = 51.290%
epoch = 002, accuracy = 68.650%
epoch = 003, accuracy = 68.590%
epoch = 004, accuracy = 77.080%
epoch = 005, accuracy = 79.420%
epoch = 006, accuracy = 80.170%
epoch = 007, accuracy = 83.480%
epoch = 008, accuracy = 83.440%
epoch = 009, accuracy = 84.430%
epoch = 010, accuracy = 84.170%
epoch = 011, accuracy = 84.740%
epoch = 012, accuracy = 86.260%
epoch = 013, accuracy = 86.110%
epoch = 014, accuracy = 87.370%
epoch = 015, accuracy = 86.780%
epoch = 016, accuracy = 86.570%
epoch = 017, accuracy = 85.970%
epoch = 018, accuracy = 87.450%
epoch = 019, accuracy = 85.930%
epoch = 020, accuracy = 87.310%
epoch = 021, accuracy = 87.870%
epoch = 022, accuracy = 87.470%
epoch = 023, accuracy = 87.040%
epoch = 024, accuracy = 85.810%
epoch = 025, accuracy = 89.040%
epoch = 026, accuracy = 87.430%
epoch = 027, accuracy = 88.360%
epoch = 028, accuracy = 88.100%
epoch = 029, accuracy = 87.810%
epoch = 030, accuracy = 85.840%
epoch = 031, accuracy = 87.390%
epoch = 032, accuracy = 87.840%
epoch = 033, accuracy = 87.560%
epoch = 034, accuracy = 88.040%
epoch = 035, accuracy = 89.540%
epoch = 036, accuracy = 87.460%
epoch = 037, accuracy = 88.180%
epoch = 038, accuracy = 87.920%
epoch = 039, accuracy = 88.380%
epoch = 040, accuracy = 88.680%
